Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart/add/anonymous-75/EPE/1,1,0,41.625432670116425,41.625432670116425,41.625432670116425,41.625432670116425,129.0,0.01693811043348324,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/cart/add/anonymous-75/SHCE/1,1,0,51.83275695890188,51.83275695890188,51.83275695890188,51.83275695890188,222.0,0.01693811043348324,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/api/cart/add/anonymous-76/STAN-1/1,1,0,103.14416326582432,103.14416326582432,103.14416326582432,103.14416326582432,191.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-76/UHJ/1,1,0,41.10778775066137,41.10778775066137,41.10778775066137,41.10778775066137,138.0,0.01693811043348324,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/cart/add/anonymous-77/RED/1,1,0,16.823166981339455,16.823166981339455,16.823166981339455,16.823166981339455,225.0,0.01693811043348324,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-77/SHCE/1,1,0,55.60758616775274,55.60758616775274,55.60758616775274,55.60758616775274,124.0,0.01693811043348324,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/api/cart/add/anonymous-78/SHCE/1,1,0,13.651703484356403,13.651703484356403,13.651703484356403,13.651703484356403,124.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-78/Watson/1,1,0,40.325804613530636,40.325804613530636,40.325804613530636,40.325804613530636,198.0,0.01693811043348324,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/api/cart/add/anonymous-79/EMM/1,1,0,93.58705673366785,93.58705673366785,93.58705673366785,93.58705673366785,223.0,0.01693811043348324,0.0,94,94,94,94,94,94,94,94,94,94,94
GET,/api/cart/add/anonymous-79/HPTD/1,1,0,100.68092029541731,100.68092029541731,100.68092029541731,100.68092029541731,121.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-80/SHCE/1,1,0,51.30096338689327,51.30096338689327,51.30096338689327,51.30096338689327,124.0,0.01693811043348324,0.0,51,51,51,51,51,51,51,51,51,51,51
